iter	Passed	Remaining
0	163	48820
1	457	68166
2	654	64787
3	888	65725
4	1130	66671
5	1399	68570
6	1605	67203
7	1907	69608
8	2151	69554
9	2418	70126
10	2661	69913
11	2915	69960
12	3158	69730
13	3416	69790
14	3768	71602
15	4067	72206
16	4362	72620
17	4714	73855
18	5004	74009
19	5261	73660
20	5533	73512
21	5793	73210
22	6001	72281
23	6230	71648
24	6478	71260
25	6713	70749
26	6959	70363
27	7218	70123
28	7475	69853
29	7713	69420
30	7927	68794
31	8179	68504
32	8428	68197
33	8663	67776
34	8917	67520
35	9210	67544
36	9470	67316
37	9738	67144
38	9986	66833
39	10246	66601
40	10493	66286
41	10738	65964
42	10990	65686
43	11247	65437
44	11528	65327
45	11779	65044
46	12045	64840
47	12302	64589
48	12525	64158
49	12846	64234
50	13105	63985
51	13366	63749
52	13645	63593
53	13951	63555
54	14222	63352
55	14509	63218
56	14759	62923
57	15015	62650
58	15216	62157
59	15454	61819
60	15704	61530
61	15939	61188
62	16196	60930
63	16408	60507
64	16637	60150
65	16901	59923
66	17208	59843
67	17484	59653
68	17729	59356
69	18014	59190
70	18271	58932
71	18332	58052
72	18576	57764
73	18774	57339
74	19043	57129
75	19303	56895
76	19380	56128
77	19632	55876
78	19886	55631
79	20055	55153
80	20173	54542
81	20417	54280
82	20682	54073
83	20921	53798
84	21016	53159
85	21066	52420
86	21355	52283
87	21594	52022
88	21767	51606
89	21813	50898
90	21853	50191
91	22112	49992
92	22372	49796
93	22448	49196
94	22522	48602
95	22799	48449
96	23046	48230
97	23104	47624
98	23341	47390
99	23627	47255
100	23845	46981
101	24097	46777
102	24327	46530
103	24582	46327
104	24841	46133
105	25149	46029
106	25446	45898
107	25690	45672
108	25890	45367
109	26107	45095
110	26188	44591
111	26422	44352
112	26660	44119
113	26961	43989
114	27203	43762
115	27257	43235
116	27520	43045
117	27769	42830
118	27989	42571
119	28125	42187
120	28386	41993
121	28447	41505
122	28489	40997
123	28744	40798
124	28824	40353
125	29069	40143
126	29201	39777
127	29472	39603
128	29685	39350
129	29732	38881
130	29966	38659
131	30213	38453
132	30423	38200
133	30685	38013
134	30922	37794
135	31171	37589
136	31447	37415
137	31598	37094
138	31694	36711
139	32094	36679
140	33039	37257
141	33389	37151
142	33707	37007
143	33984	36816
144	34241	36603
145	34383	36267
146	34733	36150
147	34870	35812
148	34983	35452
149	35047	35047
150	35331	34863
151	35458	34525
152	35698	34298
153	35991	34122
154	36111	33781
155	36159	33378
156	36447	33197
157	36673	32960
158	36945	32763
159	37031	32402
160	37360	32254
161	37682	32099
162	37990	31930
163	38232	31704
164	38476	31481
165	38686	31229
166	38741	30853
167	39111	30730
168	39337	30492
169	39566	30256
170	39828	30045
171	40083	29829
172	40562	29776
173	40834	29569
174	41086	29347
175	41338	29124
176	41555	28877
177	41813	28658
178	42019	28404
179	42208	28138
180	42512	27950
181	42793	27744
182	43047	27522
183	43290	27292
184	43537	27063
185	43593	26718
186	43638	26369
187	43884	26144
188	44053	25872
189	44289	25641
190	44343	25306
191	44521	25043
192	44782	24827
193	44849	24505
194	45124	24297
195	45181	23973
196	45417	23746
197	45671	23527
198	45933	23312
199	46024	23012
200	46105	22708
201	46276	22451
202	46519	22228
203	46730	21990
204	46960	21762
205	47187	21532
206	47271	21237
207	47564	21037
208	47821	20821
209	48091	20610
210	48301	20373
211	48448	20110
212	48691	19888
213	48971	19679
214	49204	19452
215	49337	19186
216	49599	18971
217	49848	18750
218	50106	18532
219	50370	18316
220	50614	18093
221	50914	17888
222	51182	17672
223	51441	17453
224	51656	17218
225	51902	16994
226	52147	16769
227	52405	16549
228	52649	16323
229	52903	16100
230	53152	15876
231	53377	15645
232	53643	15425
233	53864	15192
234	54115	14968
235	54361	14742
236	54605	14515
237	54902	14302
238	55134	14072
239	55397	13849
240	55641	13621
241	55847	13384
242	56094	13157
243	56350	12932
244	56592	12704
245	56849	12479
246	57123	12257
247	57418	12039
248	57677	11813
249	57954	11590
250	58221	11365
251	58491	11141
252	58774	10918
253	59035	10691
254	59304	10465
255	59534	10232
256	59789	10003
257	60021	9770
258	60271	9541
259	60518	9310
260	60818	9087
261	61099	8861
262	61345	8630
263	61602	8400
264	61881	8173
265	62147	7943
266	62398	7712
267	62665	7482
268	62891	7247
269	63154	7017
270	63413	6785
271	63673	6554
272	63950	6324
273	64187	6090
274	64443	5858
275	64650	5621
276	64882	5387
277	65152	5155
278	65418	4923
279	65687	4691
280	65943	4458
281	66188	4224
282	66479	3993
283	66735	3759
284	67047	3528
285	67322	3295
286	67596	3061
287	67864	2827
288	68121	2592
289	68357	2357
290	68637	2122
291	68889	1887
292	69142	1651
293	69410	1416
294	69693	1181
295	69909	944
296	70146	708
297	70398	472
298	70655	236
299	70910	0
